call_id,date,lob,experience,queue,frustration,state,state_frust
1.0,2019-01,United Income,NA,NA,3,TX,4
2.0,2019-01,Dealer,NA,NA,3,AL,5
3.0,2019-01,Servicing,Navigate My Account,NMA-PW-2,3,NY,4
4.0,2019-01,Dealer,NA,NA,3,NJ,4
5.0,2019-01,Servicing,Vehicle Resolution,VR-ENQ-2,8,OH,4
6.0,2019-01,United Income,NA,NA,2,SC,4
7.0,2019-01,Servicing,Navigate My Account,NMA-CRS-3,9,GA,4
8.0,2019-01,Servicing,Decision The Deal,DTD-CRS-2,2,MA,4
9.0,2019-01,Dealer,NA,NA,2,NJ,4
10.0,2019-01,Consumer Auto,NA,NA,2,WA,8
11.0,2019-01,Consumer Auto,NA,NA,2,IA,7
12.0,2019-01,United Income,NA,NA,3,TX,4
13.0,2019-01,Servicing,Vehicle Resolution,VR-ESC-3,6,IL,7
14.0,2019-01,Dealer,NA,NA,2,PA,2
15.0,2019-01,Servicing,Navigate My Account,NMA-DIG-2,4,GA,4
16.0,2019-01,Refinance,NA,NA,2,CA,2
17.0,2019-01,Servicing,Navigate My Account,NMA-DIG-3,7,CA,5
18.0,2019-01,Servicing,Fund My Deal,FMD-ESC-2,4,KS,3
19.0,2019-01,Consumer Auto,NA,NA,2,GA,3
20.0,2019-01,Dealer,NA,NA,2,MO,4
21.0,2019-01,Consumer Auto,NA,NA,3,FL,3
22.0,2019-01,Refinance,NA,NA,2,CA,6
23.0,2019-01,Servicing,Navigate My Account,NMA-ENQ-1,2,FL,5
24.0,2019-01,Servicing,Vehicle Resolution,VR-CRS-4,6,MO,4
25.0,2019-01,Consumer Auto,NA,NA,2,TX,4
26.0,2019-01,Consumer Auto,NA,NA,3,MD,5
27.0,2019-01,Dealer,NA,NA,2,LA,7
28.0,2019-01,Consumer Auto,NA,NA,2,IL,6
29.0,2019-01,Dealer,NA,NA,2,MI,4
30.0,2019-01,Dealer,NA,NA,2,CA,4
31.0,2019-01,Consumer Auto,NA,NA,4,MI,4
32.0,2019-01,Dealer,NA,NA,3,FL,4
33.0,2019-01,Refinance,NA,NA,2,CA,4
34.0,2019-01,Servicing,Navigate My Account,NMA-ESC-1,8,AZ,5
35.0,2019-01,Consumer Auto,NA,NA,1,GA,2
36.0,2019-01,Servicing,Move On,MO-CRS-2,4,NM,7
37.0,2019-01,Servicing,Set Up My Loan,SML-CRS-2,2,AZ,5
38.0,2019-01,Consumer Auto,NA,NA,2,MA,7
39.0,2019-01,Consumer Auto,NA,NA,3,CA,6
40.0,2019-01,Servicing,Fund My Deal,FMD-REC-5,5,OH,6
41.0,2019-01,Refinance,NA,NA,1,LA,6
42.0,2019-01,Servicing,Manage My Leads,MML-DIG-1,4,OH,7
43.0,2019-01,United Income,NA,NA,2,OH,6
44.0,2019-01,Consumer Auto,NA,NA,2,MN,4
45.0,2019-01,Refinance,NA,NA,2,WV,6
46.0,2019-01,Refinance,NA,NA,4,WA,5
47.0,2019-01,United Income,NA,NA,3,IL,6
48.0,2019-01,Servicing,Set Up My Loan,SML-PW-3,3,IN,4
49.0,2019-01,Dealer,NA,NA,2,TX,3
50.0,2019-01,Consumer Auto,NA,NA,1,WA,4
51.0,2019-01,Servicing,Navigate My Account,NMA-REC-2,1,TX,3
52.0,2019-01,Servicing,Inside Sales,IS-CRS-5,4,OK,3
53.0,2019-01,Consumer Auto,NA,NA,4,NY,4
54.0,2019-01,Servicing,Inside Sales,IS-DIG-1,3,PA,2
55.0,2019-01,Servicing,Navigate My Account,NMA-PW-1,4,TX,3
56.0,2019-01,Consumer Auto,NA,NA,5,TX,4
57.0,2019-01,Refinance,NA,NA,2,NJ,3
58.0,2019-01,Consumer Auto,NA,NA,2,OH,6
59.0,2019-01,Consumer Auto,NA,NA,1,WI,4
60.0,2019-01,Servicing,Decision The Deal,DTD-ENQ-1,4,MD,6
61.0,2019-01,Servicing,Navigate My Account,NMA-CRS-1,4,NC,4
62.0,2019-01,Servicing,Navigate My Account,NMA-ESC-2,4,NY,3
63.0,2019-01,Servicing,Fund My Deal,FMD-ENQ-3,8,VA,4
64.0,2019-01,Servicing,Set Up My Loan,SML-COL-2,6,MI,4
65.0,2019-01,Servicing,Help Me Catch Up,HMC-ENQ-1,5,CT,4
66.0,2019-01,Consumer Auto,NA,NA,5,FL,4
67.0,2019-01,United Income,NA,NA,1,FL,4
68.0,2019-01,Servicing,Move On,MO-CRS-1,4,SC,3
69.0,2019-01,Consumer Auto,NA,NA,2,ID,2
70.0,2019-01,Servicing,Inside Sales,IS-CRS-3,3,IA,3
71.0,2019-01,Consumer Auto,NA,NA,2,TN,4
72.0,2019-01,Servicing,Inside Sales,IS-ENQ-4,1,TX,3
73.0,2019-01,Dealer,NA,NA,2,CA,4
74.0,2019-01,Dealer,NA,NA,1,IN,4
75.0,2019-01,Refinance,NA,NA,2,WI,7
76.0,2019-01,Dealer,NA,NA,1,GA,4
77.0,2019-01,Refinance,NA,NA,5,TX,4
78.0,2019-01,Servicing,Outside Sales,OS-CRS-1,6,MA,4
79.0,2019-01,Servicing,Inside Sales,IS-ESC-5,1,NE,7
80.0,2019-01,Servicing,Fund My Deal,FMD-CRS-1,2,PA,4
