FIPS Code,State and area,Year,Month,Population,Civilian labor force,Percent Labour Force,Employed,Employment Rate,Unemployed,Unemployment Rate,state,code,fips,day,month_
1,Alabama,2019.0,1.0,3858512.0,2218016.0,57.5,2123222.0,55.0,94794.0,4.3,Alabama,AL,1.0,1,2019-01
2,Alaska,2019.0,1.0,546579.0,349386.0,63.9,325783.0,59.6,23603.0,6.8,Alaska,AK,2.0,1,2019-01
4,Arizona,2019.0,1.0,5670393.0,3505228.0,61.8,3317215.0,58.5,188013.0,5.4,Arizona,AZ,4.0,1,2019-01
5,Arkansas,2019.0,1.0,2340710.0,1345590.0,57.5,1286293.0,55.0,59297.0,4.4,Arkansas,AR,5.0,1,2019-01
6,California,2019.0,1.0,31012788.0,19323914.0,62.3,18385594.0,59.3,938320.0,4.9,California,CA,6.0,1,2019-01
37,Los Angeles County,2019.0,1.0,8057333.0,5105387.0,63.4,4848084.0,60.2,257303.0,5.0,,,,1,2019-01
8,Colorado,2019.0,1.0,4516317.0,3084590.0,68.3,2981207.0,66.0,103383.0,3.4,Colorado,CO,8.0,1,2019-01
9,Connecticut,2019.0,1.0,2885407.0,1905935.0,66.1,1820221.0,63.1,85714.0,4.5,Connecticut,CT,9.0,1,2019-01
10,Delaware,2019.0,1.0,776420.0,483932.0,62.3,464115.0,59.8,19817.0,4.1,Delaware,DE,10.0,1,2019-01
11,District of Columbia,2019.0,1.0,579320.0,408322.0,70.5,381249.0,65.8,27073.0,6.6,District of Columbia,DC,11.0,1,2019-01
12,Florida,2019.0,1.0,17320950.0,10226748.0,59.0,9836915.0,56.8,389833.0,3.8,Florida,FL,12.0,1,2019-01
13,Georgia,2019.0,1.0,8156579.0,5126670.0,62.9,4906091.0,60.1,220579.0,4.3,Georgia,GA,13.0,1,2019-01
15,Hawaii,2019.0,1.0,1092891.0,670618.0,61.4,650976.0,59.6,19642.0,2.9,Hawaii,HI,15.0,1,2019-01
16,Idaho,2019.0,1.0,1354143.0,862962.0,63.7,829137.0,61.2,33825.0,3.9,Idaho,ID,16.0,1,2019-01
17,Illinois,2019.0,1.0,10009039.0,6443805.0,64.4,6096526.0,60.9,347279.0,5.4,Illinois,IL,17.0,1,2019-01
18,Indiana,2019.0,1.0,5228912.0,3375695.0,64.6,3239676.0,62.0,136019.0,4.0,Indiana,IN,18.0,1,2019-01
19,Iowa,2019.0,1.0,2466434.0,1713131.0,69.5,1652105.0,67.0,61026.0,3.6,Iowa,IA,19.0,1,2019-01
20,Kansas,2019.0,1.0,2225406.0,1481498.0,66.6,1427245.0,64.1,54253.0,3.7,Kansas,KS,20.0,1,2019-01
21,Kentucky,2019.0,1.0,3492386.0,2043169.0,58.5,1946420.0,55.7,96749.0,4.7,Kentucky,KY,21.0,1,2019-01
22,Louisiana,2019.0,1.0,3584760.0,2092144.0,58.4,1983084.0,55.3,109060.0,5.2,Louisiana,LA,22.0,1,2019-01
